name,Overall Score,Tariff Rate,Income Tax Rate,Corporate Tax Rate,Population (millions),GDP (billions),GDP per Capita,Unemployment Rate,Inflation Rate,FDI Inflow (millions),Tax Burden % GDP,Govt. Expenditure % GDP
,69.7,5.0,35.0,20.0,69.6,1377.5,19228.0,0.8,0.7,4145.7,14.9,21.6
,64.6,18.0,0.0,0.0,0.4,12.8,37266.0,10.4,1.3,636.7,17.0,20.3
,58.8,11.7,35.0,31.0,2.3,6.4,2298.0,9.1,7.1,32.3,11.1,23.0
,44.7,2.5,10.0,10.0,1.3,2.0,3253.0,4.5,0.1,74.6,25.0,86.9
,57.5,12.3,45.0,27.0,8.1,15.0,1662.0,2.0,0.7,133.3,21.0,22.5
,57.5,5.8,20.0,25.0,0.1,0.6,6940.0,1.1,4.7,12.6,22.3,39.3
,59.0,8.1,25.0,30.0,1.4,44.9,27261.0,2.7,1.0,229.9,22.9,31.2
,56.6,9.1,35.0,25.0,11.7,148.7,11201.0,16.0,6.7,844.8,31.2,31.0
,64.0,4.5,40.0,22.0,83.4,2361.8,27875.0,13.5,15.2,8434.0,24.4,34.4
,47.4,2.9,10.0,20.0,5.9,121.8,18200.0,3.9,5.1,2165.9,15.6,15.0
,58.6,11.3,40.0,30.0,44.3,118.7,2272.0,1.8,2.9,1266.0,13.5,16.7
,56.2,2.9,20.0,18.0,44.4,409.8,13341.0,8.9,7.9,3070.0,20.1,41.6
,76.9,4.3,0.0,0.0,9.8,744.1,69901.0,2.4,-1.9,13787.5,0.1,30.0
,78.4,3.0,45.0,19.0,66.8,3162.4,48710.0,3.9,1.8,59137.1,33.5,38.8
,74.8,2.3,37.0,21.0,328.2,21427.7,65118.0,3.7,1.8,246215.0,24.3,35.5
,69.3,9.6,36.0,25.0,3.5,82.8,22455.0,8.7,7.9,189.2,28.6,33.2
,58.3,14.8,22.0,7.5,33.6,303.3,7289.0,5.9,14.5,2286.3,14.8,25.9
,60.5,9.2,0.0,0.0,0.3,0.9,3274.0,4.4,2.1,41.0,18.0,35.7
,24.7,12.6,34.0,34.0,28.5,202.0,5990.0,24.0,19906.0,934.0,24.0,35.8
,61.7,5.5,35.0,20.0,96.5,1001.5,8374.0,2.0,2.8,16120.0,18.5,21.6
,,6.3,15.0,20.0,29.2,72.1,1910.0,,10.0,-371.0,12.0,12.2
,50.4,8.4,37.5,35.0,17.9,75.9,3624.0,11.4,9.8,753.2,16.2,26.8
,39.5,12.0,51.5,24.0,14.6,39.7,2953.0,5.0,255.3,280.0,20.7,18.8
